id,birthdate,deathdate,ssn,drivers,passport,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,city,state,county,fips,zip,lat,lon,healthcare_expenses,healthcare_coverage,income,location
02bdcf90-32f9-f93f-79d8-5a1933f2af06,1992-09-13,1958-05-21,999-29-6086,99938340.0,X84875389X,Mr.,Richie600,McCullough561,,,M,white,nonhispanic,male,Daphne  Alabama  US,912 Goyette Ranch,Center Point,Alabama,Jefferson County,1073.0,35215,33.668945899945584,-86.60579960825079,,14104.06,30043.0,POINT(-86.60579960825079 33.668945899945584),
f70a6900-4871-11c4-cbb2-4ee86975558c,1960-01-06,,999-16-2177,99966246.0,X77565933X,Mrs.,Scarlett814,Conroy74,,Mann644,M,black,nonhispanic,female,Cullman  Alabama  US,130 Goyette Gate Suite 92!!,Atmore,Alabama,Escambia County,1053.0,36502,31.11588851471998,-87.47009719785575,1767497.44,25482.44,,POINT(-87.47009719785575 31.11588851471998),66
17d6e339-f882-e88c-320e-c3f71c62b945,1993-06-27,,999-55-9208,99952359.0,X80214132X,Mrs.,Blanca837,Ontiveros947,,Viera553,,,,female,Wesley  Saint Andrew Parish  DM,303 Klocko Underpass Apt 78,Harvest,Alabama,Madison County,1089.0,35749,34.80024351735981,-86.7686032209981,66794.92,386110.45,23803.0,POINT(-86.7686032209981 34.80024351735981),32
43040569-f355-dcc7-1fa0-c2d386a57cc7,2007-02-18,,999-82-9397,,,,Lila466,Purdy2,,,,white,nonhispanic,female,Homewood  Alabama  US,906 Grimes Corner,Alexander City!!,Alabama,Tallapoosa County,1037.0,35089,32.8836308269105,-85.92242795595156,19500.93,7961.73,38626.0,POINT(-85.92242795595156 32.8836308269105),19
d74d24e5-192e-03f7-5bda-6cd8195bbefe,2011-09-16,,999-76-3476,,,,Fidelia216,Flatley871,,,,white,nonhispanic,female,Andalusia  Alabama  US,134 Kertzmann Overpass Unit 92,Chelsea,Alabama,Shelby County,1117.0,35043,33.16112926687233,-86.57248588048783,11038.1,,,POINT(-86.57248588048783 33.16112926687233),14
fb1ff537-0e7d-77ed-b2be-3cbd195cc64b,2004-03-24,,999-67-5361,99921317.0,,Mr.,Kim439,Ferry570,,,,white,nonhispanic,male,Smoke Rise  Alabama  US,296 Bruen Bridge,Enterprise,Alabama,Coffee County,1031.0,36330,31.38928714768877,-85.89629086641092,,0.0,,POINT(-85.89629086641092 31.389287147688766),21
d70a6bbf-8ebd-77e0-2f04-d3369c9f0fcb,1963-04-21,,999-61-6649,99957052.0,X49159141X,Mr.,Silas208,Schaefer657,,,M,black,nonhispanic,male,Hueytown  Alabama  US,408 Schultz Dale Suite 65,Huntsville,Alabama,Madison County,1089.0,35758,34.66561730278715,-86.4792298938542,,3397318.91,86178.0,POINT(-86.4792298938542 34.66561730278715),62
db4ce617-081b-c16a-270f-8f8391bee5d3,2006-09-25,,999-35-5482,99965719.0,,,Andrea7,Casta?ñeda925,,,,white,,female,Panama City  Panama  PA,561 Crist Mill,Decatur,Alabama,Morgan County,1103.0,35640,34.54188892087336,-87.00281484510532,21092.48,18608.37,197103.0,POINT(-87.00281484510532 34.54188892087336),19
b2ec1b43-0b3b-eec8-e2ec-21d19a1033d6,2002-01-06,,999-19-9514,99936740.0,X9188549X,Ms.,Francene766,Bechtelar572,,,,white,nonhispanic,female,Montgomery  Alabama  US,403 Okuneva Path,Montgomery,Alabama,Montgomery County,1101.0,36106,32.43082472487542,-86.27878257739646,23217.41,87559.79,,POINT(-86.27878257739646 32.43082472487542),24
c5a11ac2-b86c-7f70-de60-5daed3edc3d9,1953-03-05,,999-37-9914,99921198.0,X86621541X,Mrs.,Ellena683,Pagac496,,O'Connell601,M,white,nonhispanic,female,Montgomery  Alabama  US,922 Hodkiewicz Branch,Gadsden,Alabama,Etowah County,1055.0,35906,34.065755516410874,-85.99738594239358,9999999.0,,92831.0,POINT(-85.99738594239358 34.065755516410874),73
